DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
l79_Vrms.o3,C,173,_66c708f8-bbe7-4f20-91ec-1cb0507f526c,_85D6BE35-989E-4B31-9F61-ED5B3560E58B,DNP3 Slave
l8_Vrms.o2,B,174,_3c29e508-486c-4609-9f9e-84d94ccc8b03,_86C94507-F0BA-494F-98AB-C9F68022ECF8,DNP3 Slave
l80_Vrms.o1,A,175,_9046e010-7a79-4ca2-b6e0-988b42e8428e,_F1125DA0-4059-44E6-9D81-5604468180B1,DNP3 Slave
l80_Vrms.o2,B,176,_e64a4475-2278-44cc-9e58-407efd683952,_F1125DA0-4059-44E6-9D81-5604468180B1,DNP3 Slave
l80_Vrms.o3,C,177,_837ec620-7e61-4fb1-b15e-b1a32091ff3c,_F1125DA0-4059-44E6-9D81-5604468180B1,DNP3 Slave
l81_Vrms.o1,A,178,_214201dd-f8ca-49c9-8ff6-e6731f9f3597,_C59D6941-008A-49C9-894E-FA89D354984C,DNP3 Slave
l81_Vrms.o2,B,179,_ea85e4e0-9648-4658-914f-f9ec3d48e656,_C59D6941-008A-49C9-894E-FA89D354984C,DNP3 Slave
l81_Vrms.o3,C,180,_e72aa9cc-670c-45c6-9c34-ce62c2a39d18,_C59D6941-008A-49C9-894E-FA89D354984C,DNP3 Slave
l82_Vrms.o1,A,181,_6f6a3464-fedc-41b6-a7ea-7167e5ef9946,_D2A543D0-AF3A-4E41-B031-0E3A34DAC3CC,DNP3 Slave
l82_Vrms.o2,B,182,_61a5036b-cc58-4b1f-9044-aa190cedae9f,_D2A543D0-AF3A-4E41-B031-0E3A34DAC3CC,DNP3 Slave
l82_Vrms.o3,C,183,_13cd0340-cd85-4d90-b4e4-d1cd72476642,_D2A543D0-AF3A-4E41-B031-0E3A34DAC3CC,DNP3 Slave
l83_Vrms.o3,C,184,_cc611007-a202-406d-8cd8-3079aaa2c5b2,_F75783E3-6755-4C5C-8732-3E0A7FB36435,DNP3 Slave
l85_Vrms.o3,C,185,_02ef22bf-f5b8-4cde-9d91-75f1b1d9d9f2,_BECC625A-54E6-4951-A958-66F5A2377095,DNP3 Slave
l86_Vrms.o1,A,186,_0fbdea85-acde-434a-a60b-2a189029d514,_B89C3656-AC72-469B-B59E-F1F97F427F5A,DNP3 Slave
l86_Vrms.o2,B,187,_8ecca786-0ea2-4263-9ba5-4d16cc90fddd,_B89C3656-AC72-469B-B59E-F1F97F427F5A,DNP3 Slave
l86_Vrms.o3,C,188,_5032cebd-9485-4e72-91a6-171a76670a26,_B89C3656-AC72-469B-B59E-F1F97F427F5A,DNP3 Slave
l88_Vrms.o1,A,189,_a3ade0ad-54eb-4953-9be3-68c6e674ea57,_F6CAABDB-8078-4746-B50B-171FE945E07A,DNP3 Slave
l88_Vrms.o2,B,190,_717e46d7-b8c0-4b25-8748-649b9ea26be3,_F6CAABDB-8078-4746-B50B-171FE945E07A,DNP3 Slave
l88_Vrms.o3,C,191,_e4e6e528-0e5f-476c-8452-1ba1c490a709,_F6CAABDB-8078-4746-B50B-171FE945E07A,DNP3 Slave
l9_Vrms.o1,A,192,_7f7b2566-a53e-4060-9b32-5a82c6516f00,_D3E1096A-0A65-425F-BC49-DDB3D2B10E24,DNP3 Slave
l90_Vrms.o1,A,193,_b29759ea-83f2-4907-8142-82f212f5ef31,_98D72EAF-E4BF-4EF7-9DFC-53E2121F9DD8,DNP3 Slave
l90_Vrms.o2,B,194,_19f72b7b-128b-4b68-a11d-cec27934e589,_98D72EAF-E4BF-4EF7-9DFC-53E2121F9DD8,DNP3 Slave
l90_Vrms.o3,C,195,_e2272f6b-53c1-4110-9372-050b24d663cd,_98D72EAF-E4BF-4EF7-9DFC-53E2121F9DD8,DNP3 Slave
l92_Vrms.o1,A,196,_88f8d124-2534-41a8-adaa-97ab93e98e75,_A218A6D4-336A-4BB7-93B0-3EB687C2BAB9,DNP3 Slave
l92_Vrms.o2,B,197,_a32fda82-a26c-48ef-8fa7-04d5ac64337d,_A218A6D4-336A-4BB7-93B0-3EB687C2BAB9,DNP3 Slave
l92_Vrms.o3,C,198,_74fd49f3-8ecc-4ed2-8050-1e1c6e605c6a,_A218A6D4-336A-4BB7-93B0-3EB687C2BAB9,DNP3 Slave
l94_Vrms.o1,A,199,_ec6cc706-9594-4aac-95cf-3bef4ee21ab2,_222BD062-8134-4FBA-8239-411443A3F6EB,DNP3 Slave
l94_Vrms.o2,B,200,_8f3768f7-2fb9-4d51-bbaf-3f6cba09b192,_222BD062-8134-4FBA-8239-411443A3F6EB,DNP3 Slave
l94_Vrms.o3,C,201,_e406b5dc-ea52-4556-9492-e989499a4ace,_222BD062-8134-4FBA-8239-411443A3F6EB,DNP3 Slave
l95_Vrms.o2,B,202,_1414e642-4a10-4ed9-aa8c-4d749b1ec8fa,_6B9DF165-33F0-483D-A9AA-F8D504FCCB71,DNP3 Slave
l96_Vrms.o1,A,203,_d7ef4a06-23cb-4970-9d1b-4991dc713264,_0F20F97E-831E-4CC3-BCE9-022401571141,DNP3 Slave
l96_Vrms.o2,B,204,_8f19fa4f-bb1f-4321-b805-65d3e0cfc011,_0F20F97E-831E-4CC3-BCE9-022401571141,DNP3 Slave
l96_Vrms.o3,C,205,_dc1fc8be-4d34-4cfc-a7af-2bca71d67cb5,_0F20F97E-831E-4CC3-BCE9-022401571141,DNP3 Slave
l97_Vrms.o1,A,206,_7e751683-369d-40ff-ab94-5ae639a38e01,_86F755BD-1CF9-436E-81A8-4304BBBC1352,DNP3 Slave
l97_Vrms.o2,B,207,_2a3ffbe2-8127-492f-a9aa-fe7d5d68a570,_86F755BD-1CF9-436E-81A8-4304BBBC1352,DNP3 Slave
l97_Vrms.o3,C,208,_d912d6e7-5f7f-49b2-8864-4d8b9e85e360,_86F755BD-1CF9-436E-81A8-4304BBBC1352,DNP3 Slave
l98_Vrms.o1,A,209,_c29d7502-bb08-4447-b0e8-04759a37ee63,_5C6F75C9-E76D-4639-B761-16758F659408,DNP3 Slave
l98_Vrms.o2,B,210,_aad7c212-3ef6-4241-9452-312b3fd26e6b,_5C6F75C9-E76D-4639-B761-16758F659408,DNP3 Slave
l98_Vrms.o3,C,211,_31a26d5f-e101-4a7c-a0e4-8a28d79cad93,_5C6F75C9-E76D-4639-B761-16758F659408,DNP3 Slave
l99_Vrms.o1,A,212,_cf35c7ea-f061-4257-8f4f-9a296609d7a4,_735603E7-41C1-4C23-BCF4-300223F11FD1,DNP3 Slave
l99_Vrms.o2,B,213,_7fe0ee1a-7478-4a59-b4a8-b83b9578ebd6,_735603E7-41C1-4C23-BCF4-300223F11FD1,DNP3 Slave
l99_Vrms.o3,C,214,_4e00ee18-79c4-46eb-86e3-810264d10bd4,_735603E7-41C1-4C23-BCF4-300223F11FD1,DNP3 Slave
reg1a_Vrms.o1,A,215,_2d6f3db2-ed23-4a2a-a3aa-55df89cf37c2,_9DA10945-2EDC-43C9-A748-B079D826B0DB,DNP3 Slave
reg1a_Vrms.o2,B,216,_68d2cd89-6724-4a0c-a063-8cce674e2981,_9DA10945-2EDC-43C9-A748-B079D826B0DB,DNP3 Slave
reg1a_Vrms.o3,C,217,_b17e036e-01b0-4a9b-ba96-db5de88fff3c,_9DA10945-2EDC-43C9-A748-B079D826B0DB,DNP3 Slave
s100c_Vrms.o3,C,218,_aede2dd3-7865-4844-940d-188e20836e9b,_D009A3C1-C692-4E8B-B61C-41AAB2B9CC3D,DNP3 Slave
s102c_Vrms.o3,C,219,_a5e97ddf-367d-4202-8a08-1473fc91ea03,_EF7C5ECB-D33A-4087-BEB6-F31D65141B0D,DNP3 Slave
s103c_Vrms.o3,C,220,_11dfea5a-af96-456f-b323-750a855c032a,_D5400D7D-AF66-49AF-9D78-97A644C819E4,DNP3 Slave
s104c_Vrms.o3,C,221,_c23278b4-5c05-48c2-b848-56fe584a5a50,_0822C700-45F4-4B33-966D-E04B259C533F,DNP3 Slave
s106b_Vrms.o2,B,222,_83184148-0d13-4310-9e38-38acb124ec4e,_876669DF-6329-433E-8E85-9DD1676ED184,DNP3 Slave
s107b_Vrms.o2,B,223,_7ff1efba-6f73-4ece-adb5-0f690df54ee5,_F75F741F-5AE6-4B94-9687-EBD448F9A3D2,DNP3 Slave
s109a_Vrms.o1,A,224,_cf73308d-12a6-4aba-93d9-c1c90805c9ee,_4941C310-CE78-4351-8BF5-0445AFCD5685,DNP3 Slave
s10a_Vrms.o1,A,225,_68780f3f-6ba7-4410-9229-fb23322bdbe7,_7E0FFB05-EA3C-48AB-8CA9-338BF99DCECB,DNP3 Slave
s111a_Vrms.o1,A,226,_d27b77c5-cc92-44e5-802c-31699e4f035c,_3F1FF1B4-94D8-4D26-A987-AB286E2362A6,DNP3 Slave
s112a_Vrms.o1,A,227,_45486b77-4142-4481-8d00-7e49f402686b,_17DA5334-766F-48F1-AC2C-B26381825282,DNP3 Slave
s113a_Vrms.o1,A,228,_140fcd5a-f347-4dae-8b02-c4ea5a5d1d60,_BE656414-6022-4085-AEFB-1D0430115DDD,DNP3 Slave
s114a_Vrms.o1,A,229,_f7a75cd4-787b-45e8-8ee7-af6e0aef540d,_EE488DF2-AAAF-475A-8E14-F30782F500F1,DNP3 Slave
s11a_Vrms.o1,A,230,_abdf05c1-e006-4eda-acdf-c458b3b30135,_7C5F87CA-60CC-4303-91C1-8C89A7423335,DNP3 Slave
s12b_Vrms.o2,B,231,_99efb6b1-537c-42ae-b6b7-5fd24c9fe148,_D0417CA3-80D6-4949-8D46-FC3996D2E097,DNP3 Slave
s16c_Vrms.o3,C,232,_bac51cb1-6522-4241-be0b-2c299c9d3f69,_759E2973-BEBA-4CA0-AADD-B7CC78224EF2,DNP3 Slave
s17c_Vrms.o3,C,233,_6854d9a9-9f09-496a-a59a-c57b41f08da4,_E1A73B5A-1313-4175-B51A-7CF771AC0DD6,DNP3 Slave
s19a_Vrms.o1,A,234,_bc09d973-6142-44e2-9c94-c8a38036de3b,_59BB0E32-4E9F-4384-A254-FAE3A9C26482,DNP3 Slave
s1a_Vrms.o1,A,235,_094f3038-8d33-4e93-b124-96c36eea3d1e,_EA157357-3736-4481-8CDE-722C5713C786,DNP3 Slave
s20a_Vrms.o1,A,236,_55301dba-ed77-4d10-b87b-5ca1238000b7,_55787331-1DC6-4748-9AA1-EA36C22E37EB,DNP3 Slave
s22b_Vrms.o2,B,237,_f968b39b-b949-45ea-acd0-351f81fb7b2b,_C3037C54-F57F-4CA5-84A1-06186EA573C0,DNP3 Slave
s24c_Vrms.o3,C,238,_67f84d7c-4e91-4358-9a45-8721e526e93d,_A35AA2D2-DCE7-4F67-B932-6A5A08AC158E,DNP3 Slave
s28a_Vrms.o1,A,239,_56914e84-d273-4922-96f0-68a108bcb863,_DFE6AE03-E62E-41C6-9E79-0F6CF8B5FA04,DNP3 Slave
s29a_Vrms.o1,A,240,_f9366d88-0296-43a2-a1ee-dd4f4b4e997f,_B9943C73-D4D5-44F2-84CA-8908C7D00F83,DNP3 Slave
s2b_Vrms.o2,B,241,_216ca6a8-9267-415b-a27d-6b9b3251ad09,_7EE88E39-A1DD-43BC-B51D-37A2C7911AB1,DNP3 Slave
s30c_Vrms.o3,C,242,_5f9873a6-bd5f-4e91-b0af-f99c579e9e35,_8C599457-6403-447D-838A-7AC5091C123F,DNP3 Slave
s31c_Vrms.o3,C,243,_716840d0-99e0-42c6-a763-7a1fce3ca3f2,_D5563637-1031-4CA1-B59A-CAA3C787312E,DNP3 Slave
s32c_Vrms.o3,C,244,_4c6b5a49-f8c6-42a1-bf4c-64f242a90a42,_9DC99C69-D554-4C53-B1DD-41AE6E495764,DNP3 Slave
s33a_Vrms.o1,A,245,_8be79e93-1571-4ad7-9da2-9eea60700410,_8025D6A7-C528-4C99-95AB-8470068127B2,DNP3 Slave
s34c_Vrms.o3,C,246,_9cf4c25b-df4a-492b-9141-886f6632a3e0,_53B10AFF-F2D4-4CB8-9197-569366CA9A0D,DNP3 Slave
s35a_Vrms.o1,A,247,_c6ab2f65-47c1-44a1-af24-76cfdcd1ba0d,_7C030653-EC28-49A0-8A1B-2E09E456A2D4,DNP3 Slave
s37a_Vrms.o1,A,248,_a9375a36-e4dc-450d-994d-1f9583ea00e5,_1E48B860-76BD-4B0A-88AC-FCECED61E766,DNP3 Slave
s38b_Vrms.o2,B,249,_d364a8ac-c870-47f1-82f1-07ef94fd2f2d,_958E6211-4AFD-4E03-9F15-9D8232B2498B,DNP3 Slave
s39b_Vrms.o2,B,250,_98c568b9-95a4-4aca-9da5-9cd3a91f1167,_7E6B0637-9ED9-4037-A107-8FD614CEB493,DNP3 Slave
s41c_Vrms.o3,C,251,_eb127de0-3eb6-49aa-b9a7-c0d25557a5ff,_9A0B3761-9170-4960-834A-07445D1F1C49,DNP3 Slave
s42a_Vrms.o1,A,252,_69ef7df5-0f71-42ef-9aa1-f947d3492070,_470CDEBB-61F8-49D8-86E4-68FE24924082,DNP3 Slave
s43b_Vrms.o2,B,253,_a576bf93-eb6a-43b1-aa6e-11c7275b469d,_68075CFF-3389-4C2E-A1EA-327DC58DF172,DNP3 Slave
s45a_Vrms.o1,A,254,_3a5dd083-f423-49c6-adf2-367c9ebb816e,_65CA537E-ACC1-4826-BE64-7530AA249899,DNP3 Slave
s46a_Vrms.o1,A,255,_6d9e43e0-5ea3-4dfa-9f87-3573d285d260,_B3AA14EF-645C-426D-B8DB-88890419C026,DNP3 Slave
s47_Vrms.o1,A,256,_9a20c1bf-1f93-4dfc-ae39-de3a6ca55db6,_083FC1CB-34E5-4B95-B342-DD9658C78758,DNP3 Slave
s47_Vrms.o2,B,257,_07bc1010-d677-487b-8586-931e7e5658f6,_083FC1CB-34E5-4B95-B342-DD9658C78758,DNP3 Slave
s47_Vrms.o3,C,258,_6d64501a-2b0f-465e-9a15-f42a58dbeaa5,_083FC1CB-34E5-4B95-B342-DD9658C78758,DNP3 Slave
s48_Vrms.o1,A,259,_1237ad4d-9f87-4581-a459-98196a353111,_600E5F37-9508-4ADC-8A3C-1299C6487206,DNP3 Slave
s48_Vrms.o2,B,260,_fc7ca006-b101-429f-bb30-fbac1ebc1103,_600E5F37-9508-4ADC-8A3C-1299C6487206,DNP3 Slave
s48_Vrms.o3,C,261,_d5f7139b-22aa-4b56-bfde-bf90d5087886,_600E5F37-9508-4ADC-8A3C-1299C6487206,DNP3 Slave
s49a_Vrms.o1,A,262,_fa2fb9ee-8a50-4b7a-b86d-97bc4811476b,_20ED98F8-DE46-483B-8D02-BCB7199A417A,DNP3 Slave
s49b_Vrms.o2,B,263,_9c9f6073-57eb-41b8-8bcc-2813c7b94403,_00AB3D70-564B-492D-9021-8AD714AC1B32,DNP3 Slave
s49c_Vrms.o3,C,264,_19e90d14-eb2e-487e-98a4-ef4df957111e,_13CBF36A-3600-492D-8762-9A30B81BD686,DNP3 Slave
s4c_Vrms.o3,C,265,_e39c60a0-9e95-4a5b-a3f1-6492adc4ef4b,_8885F75C-F256-440D-8FEB-3341250061E5,DNP3 Slave
s50c_Vrms.o3,C,266,_1249fd3c-2c09-48cc-a0e5-3ff776efa67e,_66B8C557-1007-440E-9C7C-2EC6A35C320D,DNP3 Slave
s51a_Vrms.o1,A,267,_f7532053-ebea-4205-a9ff-4ba0da4d655c,_0DBAF7BF-1989-4EC8-83F7-3DBA6079ADAB,DNP3 Slave
s52a_Vrms.o1,A,268,_f2c40647-cf06-4fd0-b71a-8c048d970909,_3F605180-674B-4CDE-88CC-2F1A5BB1D3DA,DNP3 Slave
s53a_Vrms.o1,A,269,_9bfa4b82-4ef0-49bf-8082-6d7fe3a7f3b9,_62415144-70A4-42CC-AD44-4B7120D2169F,DNP3 Slave
s55a_Vrms.o1,A,270,_1a791c3f-b5ff-4a2d-a144-8519227bd971,_DFF0E3D7-7937-4194-B3EB-1516BDE3A1A8,DNP3 Slave
s56b_Vrms.o2,B,271,_d07c911e-ae1a-4519-919d-88f0678cb47f,_9C073E59-7B8C-4B0C-B75C-5C33BA9BB296,DNP3 Slave
s58b_Vrms.o2,B,272,_d4dca274-2603-4f69-91a5-3b9e6c68f709,_A986DD32-A8AA-4FBC-83BD-7817B7A8B596,DNP3 Slave
s59b_Vrms.o2,B,273,_98889b92-9043-4e6e-8fd7-4420bb725e52,_EFFEF02F-8A2F-4BBC-B36C-2445F6D8833B,DNP3 Slave
s5c_Vrms.o3,C,274,_fcb2fd3c-73bc-49fd-9f21-43516619f307,_06BB5F7C-D9AD-4041-A4B4-1BB8B1ECF384,DNP3 Slave
s60a_Vrms.o1,A,275,_2aa93dc6-ac01-477e-89f7-31636f5b5222,_1D281728-B3AC-4397-907A-F8A19E6A5AB1,DNP3 Slave
s62c_Vrms.o3,C,276,_1ec46f08-cc70-4d42-82aa-23456530b9b8,_FB758C28-E30F-417B-87AC-F7C503E440F3,DNP3 Slave
s63a_Vrms.o1,A,277,_b8b0d0ae-5196-4128-b72e-ddd49d98fa68,_6D6095A1-B8D2-4FCA-8CD0-F722B4821DDD,DNP3 Slave
s64b_Vrms.o2,B,278,_403321db-07b9-4710-9c1f-7b145ed92b6f,_364B3380-BCAE-4478-B7D9-AB1AD31CF17D,DNP3 Slave
s65a_Vrms.o1,A,279,_6670b8b1-4d82-48e6-a1d0-b8b2ef5962c6,_57A3AB1F-8829-4C64-9823-778D549941CC,DNP3 Slave
s65b_Vrms.o2,B,280,_25e1a2d4-f7aa-4a66-9534-ce30475fcdd6,_B6F8037C-13E2-4800-A5B9-C3AE40CAC974,DNP3 Slave
s65c_Vrms.o3,C,281,_5ae5656d-5d5f-4878-a46a-c215ddfd1495,_502FCF15-3D10-4007-9B27-B756143087A5,DNP3 Slave
s66c_Vrms.o3,C,282,_93a2c3d9-baeb-4695-bd50-75e0bda67cfd,_99DFCCC5-D806-4C67-A1C6-C42410C707C0,DNP3 Slave
s68a_Vrms.o1,A,283,_4af58c11-80e5-48cf-b495-95cb2360a53b,_3690313E-CA25-4D64-BAE2-C197313061EC,DNP3 Slave
s69a_Vrms.o1,A,284,_a3b141c2-54f5-4fda-a6af-b2ca4e8b671d,_27BB3420-CBCC-4FA9-9F74-C6A4668E2B84,DNP3 Slave
s6c_Vrms.o3,C,285,_e931b0e5-8c98-40ba-95d8-79051b8d7eb1,_299AA3FE-80CE-4A8D-8BF0-D5324E9B1319,DNP3 Slave
s70a_Vrms.o1,A,286,_b24f8b74-ace7-4beb-9355-367a415219c6,_F4DCED4E-C372-4346-93E2-3B42DC095342,DNP3 Slave
s71a_Vrms.o1,A,287,_f6f889fb-d11f-4222-8c74-735213c69c23,_F042AD78-19E9-4BC3-A297-8BC1C7A8D2FA,DNP3 Slave
s73c_Vrms.o3,C,288,_18e1ba17-9765-4301-ae6f-b552e0dbe6c7,_C85037BE-F5D8-4350-9680-5DFA0D636D14,DNP3 Slave
s74c_Vrms.o3,C,289,_aa68d7b8-8f35-4d75-b2c6-6c1110f0b866,_84344D37-5FF6-41C7-B8BD-0C58C8A6127A,DNP3 Slave
s75c_Vrms.o3,C,290,_a191b77a-2d0f-49af-87b3-892d1e56fa56,_176E9425-9ECC-46A3-95A2-D2A6E4A44150,DNP3 Slave
s76a_Vrms.o1,A,291,_deadc239-8e94-4b98-8610-e740ccbaa1b8,_3B4E504F-D606-4F92-94F0-877E24E025C6,DNP3 Slave
s76b_Vrms.o2,B,292,_04ad1242-4ccb-41b4-a773-ed536b184418,_DD3BECE1-B157-4339-A940-46A3102DD036,DNP3 Slave
s76c_Vrms.o3,C,293,_93d0d940-462b-4cba-ac4f-f2d9045450c2,_FACC9D1F-29AA-4660-A0D3-B437A655540B,DNP3 Slave
s77b_Vrms.o2,B,294,_8702a62f-1cd1-4252-82eb-5e552aca6f35,_57806341-A674-43F9-9D9D-DCBA5E973F54,DNP3 Slave
s79a_Vrms.o1,A,295,_b4c97530-45dd-4477-9215-204f336333d0,_18DAD4F8-81BC-4A70-8872-96CD6758EC93,DNP3 Slave
s7a_Vrms.o1,A,296,_6ded0bb3-1c2f-4850-bffb-ac3393eb722c,_09C4116E-90E0-42E8-B284-4A224C82387D,DNP3 Slave
s80b_Vrms.o2,B,297,_535bb007-2901-4a7c-a5f5-4c81f907b415,_72BEEFCE-701D-4B35-98D9-89341BEF210D,DNP3 Slave
s82a_Vrms.o1,A,298,_447570e9-d396-42db-82f6-b35a45c0993a,_73E53FC8-9ACE-46A7-8545-9FCD9A2BE8F1,DNP3 Slave
s83c_Vrms.o3,C,299,_a08b893c-6906-42c2-878d-e623227a9f6b,_54AF93F0-5800-4807-890C-5A287F7BEB7C,DNP3 Slave
s84c_Vrms.o3,C,300,_9d09806d-541d-4e34-942a-a349ba76ba81,_9EF99C68-8B0E-43B4-8788-4799580DD6F8,DNP3 Slave
s85c_Vrms.o3,C,301,_86d9a744-3114-4883-955c-872ef890a5ad,_A8DE8CCA-4406-4387-9FF0-B122A3C1AE93,DNP3 Slave
s86b_Vrms.o2,B,302,_89fab075-908e-401b-a17e-61ccfc23c59b,_03F8EA33-3E6B-4433-B733-C35D89A5B7A6,DNP3 Slave
s87b_Vrms.o2,B,303,_3c144760-b5fc-4f78-8b1e-6ef3bd314837,_99F8A9C7-622D-466A-A732-2A6AFFF81B10,DNP3 Slave
s88a_Vrms.o1,A,304,_7cc6c7ab-e544-4d1c-b905-43302bca052f,_8F343A5E-A613-46A2-ACFF-D5CEE505C5CE,DNP3 Slave
s90b_Vrms.o2,B,305,_8b5b18df-736c-492f-a937-be5f28734a49,_27E492A0-A593-46A5-AFF9-64D43D42E898,DNP3 Slave
s92c_Vrms.o3,C,306,_b0449952-cc4e-4ee3-9b81-67af1aceaf61,_FCD2F522-3FAC-45CB-B941-AEDB3B16A2DF,DNP3 Slave
s94a_Vrms.o1,A,307,_80c7bdea-05e5-4fd8-831b-edeb2efb2449,_BFF9B481-DF3F-462C-9814-4F3396F574E6,DNP3 Slave
s95b_Vrms.o2,B,308,_077813a2-6e94-413a-abb8-6dc1ca8371fc,_F8868CE9-727F-4286-97F9-4FF83EE48B3A,DNP3 Slave
s96b_Vrms.o2,B,309,_91476be5-aaf4-4406-87a6-061c1460bbe5,_BAF7127F-F0E5-4B0E-B750-3A92826BBB8D,DNP3 Slave
s98a_Vrms.o1,A,310,_b3a20521-97ac-46d9-bae2-133f1c681d37,_1575D299-7780-4071-BE3D-75C01E5987D4,DNP3 Slave
s99b_Vrms.o2,B,311,_c55f249b-25a2-4534-9879-beb90b680889,_F725D16B-B25E-4D52-AD64-E792648C2B38,DNP3 Slave
s9a_Vrms.o1,A,312,_b40a5372-b478-4f61-aece-29d53ff95c5d,_0A42A7D8-CB0D-4C7A-AB0C-92F4E9DBA92B,DNP3 Slave
sw1_Vrms.o1,A,313,_e98187cf-5d2c-4780-a0fb-4d37d7c68002,_7CBC54BB-4A93-410F-AF92-DDA633676AA0,DNP3 Slave
sw1_Vrms.o2,B,314,_e02fa1a5-3cd9-4318-96b1-fe586b4aa92e,_7CBC54BB-4A93-410F-AF92-DDA633676AA0,DNP3 Slave
sw1_Vrms.o3,C,315,_9d38b8be-af38-4b88-a473-028152b68398,_7CBC54BB-4A93-410F-AF92-DDA633676AA0,DNP3 Slave
sw2_Vrms.o1,A,316,_da0caaf1-211a-46ed-9c21-74dc4ba86ecf,_6C1FDA90-1F4E-4716-BC90-1CCB59A6D5A9,DNP3 Slave
sw2_Vrms.o2,B,317,_9964d114-e705-4595-bb96-75bb4db67b36,_6C1FDA90-1F4E-4716-BC90-1CCB59A6D5A9,DNP3 Slave
sw2_Vrms.o3,C,318,_af593681-0dfd-4457-a48f-ba6c6b5b6e89,_6C1FDA90-1F4E-4716-BC90-1CCB59A6D5A9,DNP3 Slave
sw3_Vrms.o1,A,319,_d40ff9d9-098b-4c81-9c34-2b5ff5955778,_C0E08600-353A-425F-8120-4D0DA40BEA29,DNP3 Slave
sw3_Vrms.o2,B,320,_99e71760-86ad-42a5-ae16-8b936a6aa14d,_C0E08600-353A-425F-8120-4D0DA40BEA29,DNP3 Slave
sw3_Vrms.o3,C,321,_cdb2fe10-c64d-4980-98d8-a493db1afc1b,_C0E08600-353A-425F-8120-4D0DA40BEA29,DNP3 Slave
sw4_Vrms.o1,A,322,_b3652de4-0763-41c3-bab3-a2b532299443,_BC63E102-37AD-4269-BB19-8351403B9B60,DNP3 Slave
sw4_Vrms.o2,B,323,_cd38022e-c378-4c15-945e-93f36dc23696,_BC63E102-37AD-4269-BB19-8351403B9B60,DNP3 Slave
sw4_Vrms.o3,C,324,_813e8386-f610-4807-846f-c22c695342e1,_BC63E102-37AD-4269-BB19-8351403B9B60,DNP3 Slave
sw5_Vrms.o1,A,325,_48d25286-065e-47fe-a111-15e3a98a9fff,_BF5475DE-062E-43B6-8671-8A2EAA5737EE,DNP3 Slave
sw5_Vrms.o2,B,326,_5c5a952c-554b-4014-8b5e-c3b789c08c95,_BF5475DE-062E-43B6-8671-8A2EAA5737EE,DNP3 Slave
sw5_Vrms.o3,C,327,_c2e38aa2-cefa-46d8-9407-2d194fa80169,_BF5475DE-062E-43B6-8671-8A2EAA5737EE,DNP3 Slave
sw6_Vrms.o1,A,328,_895a9682-9f11-4bd6-994c-42ec3b0d1f46,_C4486A70-BD65-4535-B8A1-B255CED67606,DNP3 Slave
sw6_Vrms.o2,B,329,_58bef3c6-87b6-4dfc-8a05-d5ab9b7c5072,_C4486A70-BD65-4535-B8A1-B255CED67606,DNP3 Slave
sw6_Vrms.o3,C,330,_d75b1224-2977-40ed-990b-c1999fcffe36,_C4486A70-BD65-4535-B8A1-B255CED67606,DNP3 Slave
sw7_Vrms.o1,A,331,_d13cba79-fda7-40a8-b9a4-72fa19309f5a,_7262F9C3-2E8B-4069-AA13-BF4A655ACE35,DNP3 Slave
sw7_Vrms.o2,B,332,_d1244ed5-1717-4d02-a032-16c776a60e19,_7262F9C3-2E8B-4069-AA13-BF4A655ACE35,DNP3 Slave
sw7_Vrms.o3,C,333,_49c13120-6db1-4e7a-9793-6c9a9d557312,_7262F9C3-2E8B-4069-AA13-BF4A655ACE35,DNP3 Slave
sw8_Vrms.o1,A,334,_6530d986-1238-4b51-b2a7-b2a4b426257c,_382F5D22-0DB5-4F62-8011-D5D522A45141,DNP3 Slave
xfm1_Vrms.o1,A,335,_5c18223e-c216-45ea-b34f-1afc33147d54,_D16A0CBB-DE18-4820-BDF5-DA651A688285,DNP3 Slave
xfm1_Vrms.o2,B,336,_19dc2bb1-7132-4cc5-8708-4d548f48005f,_D16A0CBB-DE18-4820-BDF5-DA651A688285,DNP3 Slave
xfm1_Vrms.o3,C,337,_dd7d4dce-28e5-4b00-a75c-f5999f76f9d3,_D16A0CBB-DE18-4820-BDF5-DA651A688285,DNP3 Slave
