DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
l117_Vrms.o3,C,41,_7496633e-b42c-4839-a4c9-00c6423e1091,_E98051A6-3CC5-4C3D-A409-FA6F6B722927,DNP3 Slave
l12_Vrms.o3,C,42,_e50d64b0-288e-4e4b-a1ec-505a523a2c1e,_5C03F4C0-12AC-44E0-B3BD-CA4799E3E591,DNP3 Slave
l14_Vrms.o1,A,43,_ce63b66d-fada-4eca-9f55-3e6cca559e7f,_2DC450A3-0A85-40EC-A70C-E3902A1634D2,DNP3 Slave
l15_Vrms.o1,A,44,_45ce0b0b-77a1-4d4c-94e0-ef98ae359b2c,_82F01F0C-7DF1-4058-85E4-52CA2D59DC9F,DNP3 Slave
l16_Vrms.o3,C,45,_a6c3a036-162e-4517-903e-295dc2d17bc0,_197970A0-ED9B-4ABE-8428-93DE8EEB2C57,DNP3 Slave
l17_Vrms.o3,C,46,_2b63223b-4173-4cae-9819-b3a637d6d171,_99C39112-720D-49E3-B7DC-586A90373486,DNP3 Slave
l18_Vrms.o1,A,47,_39ac4ee7-7937-4951-b1ff-792f2443d89f,_EA02C709-D539-4B3F-96BC-BC9A87CC5F9B,DNP3 Slave
l19_Vrms.o1,A,48,_59295e2c-acd3-414c-85fd-45b5ccde1e80,_9F16303B-5442-4C59-AA25-63B067F07068,DNP3 Slave
l19_Vrms.o2,B,49,_d8e92bc4-f62a-4df0-9739-84b742b7dc6b,_9F16303B-5442-4C59-AA25-63B067F07068,DNP3 Slave
l19_Vrms.o3,C,50,_2bf9f100-ff7c-4984-a540-8e9ccd4a83bf,_9F16303B-5442-4C59-AA25-63B067F07068,DNP3 Slave
l2_Vrms.o3,C,51,_69554d3d-407c-4bec-adca-1f1a92a4421f,_AE2D829D-77E8-4363-A57B-C21651E99918,DNP3 Slave
l20_Vrms.o1,A,52,_2d52b8db-a507-46f0-9161-f143814083d1,_B7B82B08-DEA3-4DF7-B096-68171B890B57,DNP3 Slave
l21_Vrms.o2,B,53,_55293b36-c00f-4753-b272-22183f6285df,_687614EE-485F-4013-9B5A-800B7745CEC8,DNP3 Slave
l22_Vrms.o1,A,54,_1e4ef303-c150-464d-82f1-876d915a409b,_AF5EE15A-277B-48EA-B77F-3FB12F2C929D,DNP3 Slave
l22_Vrms.o2,B,55,_f73000c0-64bf-493f-9e05-c789490b2052,_AF5EE15A-277B-48EA-B77F-3FB12F2C929D,DNP3 Slave
