DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
l12_Vrms.o3,C,42,_d145b5f8-f979-4014-8dd2-aee870b26f77,_5C03F4C0-12AC-44E0-B3BD-CA4799E3E591,DNP3 Slave
l14_Vrms.o1,A,43,_6ed286f7-fcd6-46a5-b4ed-763381ff83b4,_2DC450A3-0A85-40EC-A70C-E3902A1634D2,DNP3 Slave
l15_Vrms.o1,A,44,_d5cde29d-f6c5-446d-891b-3a3c325e811a,_82F01F0C-7DF1-4058-85E4-52CA2D59DC9F,DNP3 Slave
l16_Vrms.o3,C,45,_a7947ee5-6b0a-4414-8635-4a2147e87347,_197970A0-ED9B-4ABE-8428-93DE8EEB2C57,DNP3 Slave
l17_Vrms.o3,C,46,_bd89ff0a-fe1c-4de4-9bef-ada906652c73,_99C39112-720D-49E3-B7DC-586A90373486,DNP3 Slave
l18_Vrms.o1,A,47,_55c219e9-e115-4be0-9a7e-d61fefcd8642,_EA02C709-D539-4B3F-96BC-BC9A87CC5F9B,DNP3 Slave
l19_Vrms.o1,A,48,_3b15f691-75dd-463b-8127-6abb0a03baa4,_9F16303B-5442-4C59-AA25-63B067F07068,DNP3 Slave
l19_Vrms.o2,B,49,_8a11e881-8699-4dc5-ac9a-e41b42aaee95,_9F16303B-5442-4C59-AA25-63B067F07068,DNP3 Slave
l19_Vrms.o3,C,50,_24b91365-861c-4470-aa47-62643741559e,_9F16303B-5442-4C59-AA25-63B067F07068,DNP3 Slave
l2_Vrms.o3,C,51,_cb1f3259-833b-4935-a6f9-aee2dc290b64,_AE2D829D-77E8-4363-A57B-C21651E99918,DNP3 Slave
l20_Vrms.o1,A,52,_d55c787e-62ab-4fbe-8210-89b2e7d7e08f,_B7B82B08-DEA3-4DF7-B096-68171B890B57,DNP3 Slave
l21_Vrms.o2,B,53,_75b58bd6-7a2b-4638-aee2-9e4712962575,_687614EE-485F-4013-9B5A-800B7745CEC8,DNP3 Slave
l22_Vrms.o1,A,54,_c1a0c0f6-cd18-4a1c-84de-8d358ee2fa40,_AF5EE15A-277B-48EA-B77F-3FB12F2C929D,DNP3 Slave
l22_Vrms.o2,B,55,_2e90f84b-d64f-4dc5-9bc1-f4ac598845f6,_AF5EE15A-277B-48EA-B77F-3FB12F2C929D,DNP3 Slave
l22_Vrms.o3,C,56,_c59fafe2-dc34-4f11-bd42-6f7a405ff99a,_AF5EE15A-277B-48EA-B77F-3FB12F2C929D,DNP3 Slave
l23_Vrms.o3,C,57,_30e76c1f-8ca4-4a7b-ba98-294fe8b6a00d,_CACC3CF3-48A7-4107-91C9-823B9D88135D,DNP3 Slave
l24_Vrms.o1,A,58,_923938dd-6549-4887-a6ff-60937eaeed96,_A289AD3A-E8DE-48F1-A1D3-62E8C3300FF2,DNP3 Slave
l24_Vrms.o2,B,59,_bd344a2d-b0e7-4544-bb14-3b80791615d7,_A289AD3A-E8DE-48F1-A1D3-62E8C3300FF2,DNP3 Slave
l24_Vrms.o3,C,60,_ea111a79-9581-450a-860d-c8b7929850d3,_A289AD3A-E8DE-48F1-A1D3-62E8C3300FF2,DNP3 Slave
l25_Vrms.o1,A,61,_66a79c47-dee4-4cb0-b497-0c2c681614ce,_8B5CE634-E404-4F03-9597-B7A35589E56B,DNP3 Slave
l25_Vrms.o3,C,62,_c8dc64e0-45de-4fe0-93f6-7c239c71f283,_8B5CE634-E404-4F03-9597-B7A35589E56B,DNP3 Slave
l26_Vrms.o1,A,63,_eeb1351c-c232-4595-b369-c5b945e3b877,_4F2BB5D7-4E4A-4191-A5D0-DFDB4E04F3BC,DNP3 Slave
l26_Vrms.o2,B,64,_fa8aab49-1e7a-405f-ac6c-77f9c50edb1c,_4F2BB5D7-4E4A-4191-A5D0-DFDB4E04F3BC,DNP3 Slave
l26_Vrms.o3,C,65,_5d020056-5b63-4064-9a42-11358eaaff72,_4F2BB5D7-4E4A-4191-A5D0-DFDB4E04F3BC,DNP3 Slave
l27_Vrms.o1,A,66,_0bdb24bb-d74f-4480-b9b7-e0826a4a15e3,_CC4C3CA9-CBDF-4986-A6EF-96E44AAB5CA1,DNP3 Slave
l27_Vrms.o3,C,67,_1e699096-200d-473f-b7b4-69423aa4c0bf,_CC4C3CA9-CBDF-4986-A6EF-96E44AAB5CA1,DNP3 Slave
l28_Vrms.o3,C,68,_3138b6d3-e336-4fe2-b833-5786cd8ba7dd,_E6D93292-1744-4521-925F-FB8312594671,DNP3 Slave
l29_Vrms.o1,A,69,_0a9be506-6ddf-40e0-814a-e05cfc95900f,_5262D65A-FF6D-4384-905D-4E1BB517BCCC,DNP3 Slave
l3_Vrms.o1,A,70,_afc9ca0c-98d3-4bb2-8484-5b949848defc,_65A10278-17AC-4F93-9F78-6B0C697C8B0A,DNP3 Slave
l3_Vrms.o2,B,71,_551445b4-d060-4c20-8b0e-ab7cf6cc6f09,_65A10278-17AC-4F93-9F78-6B0C697C8B0A,DNP3 Slave
l3_Vrms.o3,C,72,_4e82cede-b852-4a86-9ed0-4c06851a92da,_65A10278-17AC-4F93-9F78-6B0C697C8B0A,DNP3 Slave
l30_Vrms.o1,A,73,_6e18d7e1-f326-43d7-bdf2-93c301a29ea2,_C32DB82D-8DC6-4BC6-9624-179D1A1D949F,DNP3 Slave
l30_Vrms.o2,B,74,_7b01ee15-3421-4d58-9fc4-909231e893a4,_C32DB82D-8DC6-4BC6-9624-179D1A1D949F,DNP3 Slave
l30_Vrms.o3,C,75,_59b77c36-4216-483c-8f62-15a68bff1a3f,_C32DB82D-8DC6-4BC6-9624-179D1A1D949F,DNP3 Slave
l31_Vrms.o1,A,76,_eb7c228e-5d5e-4f93-89ff-4c5fa9c5c745,_9944A2E8-663F-44BE-BC59-B7044E8BC7FE,DNP3 Slave
l31_Vrms.o2,B,77,_b6c8258a-f26c-4a7a-bbc1-192a30450132,_9944A2E8-663F-44BE-BC59-B7044E8BC7FE,DNP3 Slave
l31_Vrms.o3,C,78,_a6d1162a-6e1f-4013-b37e-830c90d26c04,_9944A2E8-663F-44BE-BC59-B7044E8BC7FE,DNP3 Slave
l32_Vrms.o1,A,79,_63814f5b-e63a-4fc2-b591-dcb8d3eda990,_D7C15256-CE68-41D9-801F-5F00EA0891A0,DNP3 Slave
l32_Vrms.o2,B,80,_2d4425be-f8a9-4cdb-ab04-6448f23cc19f,_D7C15256-CE68-41D9-801F-5F00EA0891A0,DNP3 Slave
l32_Vrms.o3,C,81,_322cc4ea-d3b3-4c44-b4f6-515e9341207e,_D7C15256-CE68-41D9-801F-5F00EA0891A0,DNP3 Slave
l33_Vrms.o3,C,82,_30868450-9659-4f30-ba1a-cb400ca30baa,_E55B8BB5-B386-4381-B1F5-2E8B6DD11A66,DNP3 Slave
l35_Vrms.o1,A,83,_808ba2bc-1355-413c-8896-902d828bb7b1,_F82863AA-3944-4741-8B05-8793E443E9AA,DNP3 Slave
l35_Vrms.o2,B,84,_47d866d9-b6c3-4a62-96f7-47157bc3343b,_F82863AA-3944-4741-8B05-8793E443E9AA,DNP3 Slave
l36_Vrms.o1,A,85,_c629da89-8100-46a1-8bb9-29fa1b44a9c0,_0478F207-BC9A-46BC-B270-98691D503B17,DNP3 Slave
l36_Vrms.o2,B,86,_d96567d3-7c99-4385-b0bb-4041e0b90183,_0478F207-BC9A-46BC-B270-98691D503B17,DNP3 Slave
l36_Vrms.o3,C,87,_00a257bc-06ec-4e80-b2e3-e373cb2414e1,_0478F207-BC9A-46BC-B270-98691D503B17,DNP3 Slave
l37_Vrms.o1,A,88,_fe24bdcf-9c47-4f5c-b171-24dcf4ddd2da,_6BAC9AF3-BF82-456B-9743-564DEF6A65AC,DNP3 Slave
l38_Vrms.o2,B,89,_ebaa7423-8b25-49b4-a443-0210324876b0,_984B00B1-B20E-4DDE-AC07-171A1E0C7B89,DNP3 Slave
l39_Vrms.o2,B,90,_4bc48fcb-d592-4a4d-9ebd-4b59b27150ab,_53F0B19C-344E-4AF8-A2DB-059AC09251E8,DNP3 Slave
l4_Vrms.o3,C,91,_8f52bca0-4554-4e57-8870-8e0f01f50de6,_52E8667E-E647-4783-8CCA-71EA96741711,DNP3 Slave
l40_Vrms.o3,C,92,_c0cfbabc-976b-45d0-875f-9a53f050b5d6,_196F5D43-D671-4296-B6E8-A2D22FA18C6A,DNP3 Slave
l41_Vrms.o1,A,93,_bb866eff-2703-4150-bfa1-f7f9e55fa043,_D5E5461A-A79F-4103-BB4D-070981A6B003,DNP3 Slave
l41_Vrms.o2,B,94,_b28bf5ae-2a37-4eab-aa11-2a9814a2653d,_D5E5461A-A79F-4103-BB4D-070981A6B003,DNP3 Slave
l41_Vrms.o3,C,95,_1192dbc2-8513-48da-b130-2f579eafc0fc,_D5E5461A-A79F-4103-BB4D-070981A6B003,DNP3 Slave
l42_Vrms.o2,B,96,_18757c71-c489-4d8f-aea0-9e21992132b9,_34D245BD-7458-455E-BC36-FEC3601D5D4C,DNP3 Slave
l43_Vrms.o2,B,97,_5e2645c3-df1b-4fe7-919e-e1d5274f96cf,_5D1EEC32-5C06-4A10-A809-E08D8FEE5526,DNP3 Slave
l43_Vrms.o3,C,98,_fe2386be-7551-45c3-a586-11c4be1d1da8,_5D1EEC32-5C06-4A10-A809-E08D8FEE5526,DNP3 Slave
l44_Vrms.o1,A,99,_00d5dca9-866e-4204-81cb-2eefb6635e74,_FBE2882B-3840-44A2-A9DA-539D82CF00DB,DNP3 Slave
l45_Vrms.o1,A,100,_b4a901cb-d351-4c41-9703-89bd787a2225,_2AC05A50-D288-40F0-AC6D-491953D8C700,DNP3 Slave
l45_Vrms.o2,B,101,_21961018-7cfc-409f-8866-159acd8b2aee,_2AC05A50-D288-40F0-AC6D-491953D8C700,DNP3 Slave
l45_Vrms.o3,C,102,_839b9c5e-5fc6-46c7-914a-e97042daab00,_2AC05A50-D288-40F0-AC6D-491953D8C700,DNP3 Slave
l46_Vrms.o1,A,103,_81d808f6-8158-41f4-80a1-13b9aa33b2bc,_32A823B8-3EAD-4395-8DD8-D291CD50AD16,DNP3 Slave
l47_Vrms.o1,A,104,_378701cb-d239-4fe3-aa8f-a4714dc2e9fc,_85EFCB89-5D9D-49A3-967A-B87A7AFD6DC7,DNP3 Slave
l47_Vrms.o2,B,105,_b6ea9d01-74b3-4701-b142-b35230b28f69,_85EFCB89-5D9D-49A3-967A-B87A7AFD6DC7,DNP3 Slave
l47_Vrms.o3,C,106,_2bf38744-1d08-42bc-a52a-63031f2e1c37,_85EFCB89-5D9D-49A3-967A-B87A7AFD6DC7,DNP3 Slave
l48_Vrms.o1,A,107,_acae5ed7-fa77-4fc9-8026-c06514606b2e,_AC96A6C7-29BD-4D7E-A4BE-694B5D7EE2B9,DNP3 Slave
l48_Vrms.o2,B,108,_202a911b-9083-4095-a935-70bb6d42fdfe,_AC96A6C7-29BD-4D7E-A4BE-694B5D7EE2B9,DNP3 Slave
l48_Vrms.o3,C,109,_48f9c2f4-bacd-449e-9ddc-6b6ed04bf265,_AC96A6C7-29BD-4D7E-A4BE-694B5D7EE2B9,DNP3 Slave
l49_Vrms.o1,A,110,_be99ce8e-6bc5-42e7-9b2a-968c19005d09,_A886B436-79DF-41FF-A256-DF4C819EC728,DNP3 Slave
l49_Vrms.o2,B,111,_451054bd-b60c-48b3-8c5c-57d279abe722,_A886B436-79DF-41FF-A256-DF4C819EC728,DNP3 Slave
l49_Vrms.o3,C,112,_96da9ca0-5139-4c79-825b-69ca225ecf73,_A886B436-79DF-41FF-A256-DF4C819EC728,DNP3 Slave
l5_Vrms.o3,C,113,_e9cf3f50-955d-4192-a2ec-2e3cac2c0eed,_CB643816-35C1-4492-A9F9-06D5B97005BF,DNP3 Slave
l50_Vrms.o1,A,114,_4907a39c-a20d-40d9-8774-fff0743d3e73,_3947F4A6-6710-4291-B51C-4E1CC2E0567B,DNP3 Slave
l50_Vrms.o2,B,115,_c18d96d8-bb0b-4b90-bd1b-fe746a53b75f,_3947F4A6-6710-4291-B51C-4E1CC2E0567B,DNP3 Slave
l50_Vrms.o3,C,116,_8e31b408-458d-45af-9add-c3de72439717,_3947F4A6-6710-4291-B51C-4E1CC2E0567B,DNP3 Slave
l52_Vrms.o1,A,117,_0d4c3d33-c10b-46e3-9e8c-0baaf2d9fb09,_003DFCEE-987F-494C-8EE0-559BC071B297,DNP3 Slave
l52_Vrms.o2,B,118,_ce354c92-b20f-4b25-9cfd-f229c3113a2c,_003DFCEE-987F-494C-8EE0-559BC071B297,DNP3 Slave
l52_Vrms.o3,C,119,_74148212-d769-413d-967e-6dfcccf410c5,_003DFCEE-987F-494C-8EE0-559BC071B297,DNP3 Slave
l53_Vrms.o2,B,120,_d086d22d-c1dc-41ab-a77a-989e6746f575,_F0096681-47EB-4062-A467-24603744E0D8,DNP3 Slave
l53_Vrms.o3,C,121,_fc617f22-d58f-4ac3-9528-84cb3adbc5f9,_F0096681-47EB-4062-A467-24603744E0D8,DNP3 Slave
l54_Vrms.o1,A,122,_9525535c-0c01-4958-8ed3-4a1d8787ad4c,_22C80CC0-542E-4E06-A772-98862123B560,DNP3 Slave
l54_Vrms.o2,B,123,_d416e27b-c0ce-42e9-b17d-471950fc4e00,_22C80CC0-542E-4E06-A772-98862123B560,DNP3 Slave
